complaint_text,predicted_hardness,hardness_label,time_of_day,usage_context,frequency,region,reported_ph
There’s a strong salty taste in the water.,270.41,Very Hard,Morning,Bath,Weekly,Bengaluru,7.11
Slight scaling seen on my kettle after a few uses.,87.63,Moderate,Night,Kitchen,Weekly,Bengaluru,6.85
The water feels quite smooth when I wash my hands.,25.37,Soft,Night,Laundry,Weekly,Vellore,8.44
Washing machine filters clog frequently.,259.34,Very Hard,Evening,General use,Occasionally,Bengaluru,7.89
Hair feels dry and rough after bathing.,129.15,Hard,Night,Laundry,Daily,Mumbai,7.82
The water feels quite smooth when I wash my hands.,33.18,Soft,Evening,Kitchen,Weekly,Vellore,7.4
Soap just refuses to lather at all these days.,184.02,Very Hard,Evening,Laundry,Daily,Vellore,8.22
Washing machine filters clog frequently.,283.68,Very Hard,Morning,Laundry,Daily,Mumbai,6.63
The geyser is scaling up quickly again.,150.73,Hard,Morning,General use,Daily,Chennai,7.01
My clothes feel softer after washing.,31.02,Soft,Morning,General use,Daily,Mumbai,6.61
The geyser is scaling up quickly again.,143.48,Hard,Evening,Bath,Daily,Bengaluru,7.12
Washing machine filters clog frequently.,262.34,Very Hard,Evening,General use,Occasionally,Vellore,7.75
"The soap doesn’t lather much, but it’s manageable.",63.99,Moderate,Night,Laundry,Occasionally,Chennai,7.58
My clothes feel softer after washing.,41.5,Soft,Evening,Kitchen,Occasionally,Bengaluru,7.3
Water feels a bit harsh on the skin sometimes.,63.65,Moderate,Morning,Bath,Daily,Mumbai,7.52
Slight scaling seen on my kettle after a few uses.,106.03,Moderate,Evening,Laundry,Daily,Bengaluru,7.95
The water leaves white stains on utensils.,159.91,Hard,Morning,Laundry,Daily,Bengaluru,6.72
The water feels quite smooth when I wash my hands.,0.93,Soft,Night,Bath,Daily,Bengaluru,7.4
Washing machine filters clog frequently.,241.03,Very Hard,Night,Laundry,Occasionally,Chennai,7.15
My clothes feel stiff even after washing with detergent.,171.95,Hard,Night,Laundry,Daily,Chennai,7.62
Slight scaling seen on my kettle after a few uses.,83.75,Moderate,Night,Laundry,Daily,Bengaluru,7.42
Water feels a bit harsh on the skin sometimes.,69.94,Moderate,Morning,Bath,Weekly,Chennai,7.37
Washing machine filters clog frequently.,276.24,Very Hard,Night,General use,Daily,Mumbai,8.29
"The soap doesn’t lather much, but it’s manageable.",98.39,Moderate,Afternoon,General use,Weekly,Bengaluru,6.62
My clothes feel stiff even after washing with detergent.,175.23,Hard,Night,Kitchen,Daily,Bengaluru,6.61
Hair feels dry and rough after bathing.,161.8,Hard,Evening,General use,Occasionally,Vellore,6.95
Soap lathers easily these days.,46.84,Soft,Evening,Laundry,Weekly,Chennai,6.86
Slight scaling seen on my kettle after a few uses.,74.61,Moderate,Night,Laundry,Occasionally,Mumbai,6.66
Heavy scaling on taps and fixtures.,234.73,Very Hard,Night,Laundry,Occasionally,Mumbai,7.48
Heavy scaling on taps and fixtures.,244.26,Very Hard,Afternoon,General use,Daily,Vellore,8.49
Soap just refuses to lather at all these days.,235.88,Very Hard,Evening,General use,Daily,Bengaluru,8.25
Soap just refuses to lather at all these days.,240.57,Very Hard,Afternoon,Kitchen,Daily,Bengaluru,8.36
Washing machine filters clog frequently.,184.59,Very Hard,Evening,General use,Weekly,Mumbai,7.67
"No scaling on taps recently, water seems clean.",36.04,Soft,Evening,Kitchen,Weekly,Bengaluru,7.85
Slight scaling seen on my kettle after a few uses.,74.86,Moderate,Evening,General use,Weekly,Bengaluru,7.54
The geyser is scaling up quickly again.,162.0,Hard,Evening,Kitchen,Occasionally,Mumbai,8.09
The water feels quite smooth when I wash my hands.,32.77,Soft,Evening,Kitchen,Weekly,Vellore,6.55
The water feels quite smooth when I wash my hands.,29.09,Soft,Morning,General use,Daily,Mumbai,7.4
My clothes feel softer after washing.,28.45,Soft,Night,Laundry,Weekly,Vellore,7.13
Water feels a bit harsh on the skin sometimes.,75.96,Moderate,Evening,Kitchen,Occasionally,Bengaluru,6.69
"No scaling on taps recently, water seems clean.",25.9,Soft,Afternoon,Laundry,Weekly,Vellore,7.21
I notice mild deposits on my bathroom tiles.,75.08,Moderate,Morning,General use,Daily,Chennai,6.89
Soap just refuses to lather at all these days.,240.43,Very Hard,Morning,Kitchen,Occasionally,Mumbai,7.88
The water feels quite smooth when I wash my hands.,33.89,Soft,Afternoon,Bath,Daily,Chennai,8.48
I notice mild deposits on my bathroom tiles.,115.8,Moderate,Afternoon,Laundry,Daily,Mumbai,8.28
I notice mild deposits on my bathroom tiles.,89.91,Moderate,Evening,Kitchen,Occasionally,Bengaluru,6.82
My clothes feel softer after washing.,2.88,Soft,Afternoon,General use,Weekly,Bengaluru,6.5
Slight scaling seen on my kettle after a few uses.,106.03,Moderate,Evening,Kitchen,Daily,Vellore,6.54
Water feels a bit harsh on the skin sometimes.,95.32,Moderate,Evening,General use,Occasionally,Mumbai,8.0
The water leaves white stains on utensils.,152.63,Hard,Morning,General use,Weekly,Chennai,6.93
Washing machine filters clog frequently.,246.6,Very Hard,Evening,General use,Weekly,Vellore,6.58
Soap lathers easily these days.,48.74,Soft,Afternoon,Bath,Occasionally,Chennai,6.92
Hair feels dry and rough after bathing.,164.14,Hard,Evening,Kitchen,Daily,Bengaluru,6.89
There’s a strong salty taste in the water.,261.71,Very Hard,Afternoon,Laundry,Occasionally,Bengaluru,6.7
Soap just refuses to lather at all these days.,290.38,Very Hard,Evening,General use,Occasionally,Bengaluru,8.13
Soap just refuses to lather at all these days.,283.99,Very Hard,Evening,Laundry,Weekly,Mumbai,7.29
Soap lathers easily these days.,57.66,Soft,Evening,General use,Daily,Vellore,8.05
"No scaling on taps recently, water seems clean.",13.19,Soft,Evening,Laundry,Daily,Mumbai,7.21
Water feels a bit harsh on the skin sometimes.,114.9,Moderate,Afternoon,Bath,Occasionally,Bengaluru,6.68
Washing machine filters clog frequently.,283.09,Very Hard,Night,Laundry,Daily,Mumbai,6.89
The water leaves white stains on utensils.,128.67,Hard,Morning,Kitchen,Daily,Mumbai,7.61
Heavy scaling on taps and fixtures.,227.24,Very Hard,Afternoon,Laundry,Weekly,Chennai,7.6
Washing machine filters clog frequently.,181.26,Very Hard,Evening,General use,Occasionally,Mumbai,7.99
I notice mild deposits on my bathroom tiles.,113.81,Moderate,Morning,Bath,Weekly,Bengaluru,6.84
"No scaling on taps recently, water seems clean.",20.23,Soft,Afternoon,Laundry,Daily,Vellore,6.53
Heavy scaling on taps and fixtures.,241.53,Very Hard,Evening,Kitchen,Occasionally,Mumbai,8.34
Water feels a bit harsh on the skin sometimes.,100.04,Moderate,Evening,Kitchen,Occasionally,Chennai,8.32
"The soap doesn’t lather much, but it’s manageable.",110.25,Moderate,Evening,Bath,Weekly,Chennai,7.65
Soap lathers easily these days.,2.61,Soft,Evening,Laundry,Weekly,Chennai,7.7
There’s a strong salty taste in the water.,281.84,Very Hard,Morning,Bath,Weekly,Mumbai,6.58
The water leaves white stains on utensils.,160.2,Hard,Morning,Bath,Daily,Bengaluru,7.07
The water leaves white stains on utensils.,140.46,Hard,Afternoon,General use,Weekly,Chennai,7.1
My clothes feel softer after washing.,4.82,Soft,Night,Kitchen,Occasionally,Mumbai,6.53
I notice mild deposits on my bathroom tiles.,99.89,Moderate,Morning,Bath,Daily,Vellore,6.55
My clothes feel softer after washing.,47.02,Soft,Night,Kitchen,Daily,Mumbai,7.89
Soap just refuses to lather at all these days.,255.88,Very Hard,Night,Bath,Daily,Chennai,7.65
Hair feels dry and rough after bathing.,176.23,Hard,Afternoon,Kitchen,Daily,Bengaluru,6.73
"The soap doesn’t lather much, but it’s manageable.",78.96,Moderate,Afternoon,Bath,Occasionally,Vellore,8.36
The water leaves white stains on utensils.,142.7,Hard,Night,Bath,Daily,Vellore,8.01
I notice mild deposits on my bathroom tiles.,82.0,Moderate,Night,Kitchen,Occasionally,Mumbai,7.58
Heavy scaling on taps and fixtures.,238.95,Very Hard,Evening,Bath,Occasionally,Vellore,6.57
Soap just refuses to lather at all these days.,269.17,Very Hard,Night,Laundry,Occasionally,Chennai,7.69
"No scaling on taps recently, water seems clean.",10.22,Soft,Night,General use,Daily,Vellore,7.43
My clothes feel stiff even after washing with detergent.,147.92,Hard,Afternoon,General use,Weekly,Mumbai,8.45
Heavy scaling on taps and fixtures.,243.33,Very Hard,Morning,General use,Occasionally,Vellore,7.89
The water leaves white stains on utensils.,149.88,Hard,Morning,General use,Daily,Vellore,7.03
There’s a strong salty taste in the water.,216.1,Very Hard,Night,Kitchen,Occasionally,Vellore,8.21
"No scaling on taps recently, water seems clean.",49.77,Soft,Morning,Kitchen,Weekly,Vellore,7.23
Water feels a bit harsh on the skin sometimes.,93.24,Moderate,Evening,Kitchen,Occasionally,Chennai,8.32
Washing machine filters clog frequently.,243.3,Very Hard,Morning,Laundry,Occasionally,Mumbai,6.72
Water feels a bit harsh on the skin sometimes.,69.32,Moderate,Afternoon,Kitchen,Daily,Mumbai,6.69
The water leaves white stains on utensils.,171.83,Hard,Evening,Laundry,Weekly,Chennai,6.56
Soap lathers easily these days.,41.12,Soft,Afternoon,Kitchen,Weekly,Chennai,7.48
Washing machine filters clog frequently.,221.31,Very Hard,Evening,Laundry,Daily,Bengaluru,7.59
I notice mild deposits on my bathroom tiles.,74.85,Moderate,Evening,Kitchen,Occasionally,Vellore,7.49
There’s a strong salty taste in the water.,250.89,Very Hard,Night,Kitchen,Weekly,Chennai,7.34
"The soap doesn’t lather much, but it’s manageable.",111.88,Moderate,Afternoon,Bath,Daily,Bengaluru,6.76
Washing machine filters clog frequently.,204.8,Very Hard,Afternoon,Bath,Occasionally,Vellore,6.86
"No scaling on taps recently, water seems clean.",20.62,Soft,Morning,Bath,Occasionally,Bengaluru,7.31
My clothes feel stiff even after washing with detergent.,129.96,Hard,Night,Laundry,Daily,Chennai,6.91
Heavy scaling on taps and fixtures.,236.49,Very Hard,Evening,Bath,Occasionally,Mumbai,6.58
Soap just refuses to lather at all these days.,228.19,Very Hard,Evening,Bath,Daily,Vellore,8.27
Slight scaling seen on my kettle after a few uses.,62.09,Moderate,Night,Bath,Weekly,Bengaluru,6.75
Heavy scaling on taps and fixtures.,243.57,Very Hard,Night,Kitchen,Weekly,Mumbai,7.22
Hair feels dry and rough after bathing.,121.51,Hard,Evening,Kitchen,Weekly,Chennai,7.1
I notice mild deposits on my bathroom tiles.,110.26,Moderate,Night,Laundry,Daily,Vellore,6.53
I notice mild deposits on my bathroom tiles.,110.97,Moderate,Afternoon,Bath,Weekly,Vellore,8.11
